id,nombre,direccion,comuna,imagen,instagram,web,telefono,lat,lng
1,AST,La fortuna 520,Maipu,,https://www.instagram.com/astamericanstyletraining/,,,-33.5280327,-70.7661481
2,Estrellas de molina,Augusto Matte 1645 ,Quinta Normal,,https://www.instagram.com/estrellasdemolina/,,,-33.4294398,-70.6909692
3,Fermin Osorio,Calle B S/N,Lo espejo,,https://www.instagram.com/ferminosoriooficial/,,,-33.5089842,-70.6791819
4,Illapel Basquebol,Avenida Presidente Salvador Allende 828,Illapel,,https://www.instagram.com/illapelbasquet_seriesmenores/,,,,
5,Basquetbol INBA,La Comuna 5447,Lo prado,,https://www.instagram.com/club_basquetbolinba/,,,-33.4478301,-70.7121732
6,Interchile,Alfonso Donoso 372,San bernardo,,https://www.instagram.com/interchile.basquet/,,,-33.6051925,-70.706737
7,La granja basquetbol,San Gregorio 436,La granja,,https://www.instagram.com/la_granja_basquetbol/,,,-33.5354187,-70.6215468
8,RDS,Bulnes 1207,San bernardo,,https://www.instagram.com/basketball.rds/,,,-33.6055722,-70.7053819
9,Talento humano,Carmen Covarrubias 39,Ñuñoa,,https://www.instagram.com/thbasquet_nunoa/,,,-33.4538087,-70.6117504
10,U. de chile,,,,,,,,
11,CMD recoleta,Avenida recoleta 3005,Recoleta,,https://www.instagram.com/cmdrecoletabasquetbol/,,,-33.3995296,-70.6415902
12,CDC Cordillera,Santo Domingo 445,Puente Alto,,https://www.instagram.com/cordillera.cdc/,,,-33.6087457,-70.5776167
13,Estrellas de orion,San francisco 14551,San bernardo,,https://www.instagram.com/cdestrellasdeorion/,https://clubestrellasdeorion.crosshero.site/,,-33.6058379,-70.6701527
14,Huasares talagante,,,,,,,,
15,Ohiggins,,,,,,,,
16,Magic Quilicura,Del Sembrador 623,Quilicura,,https://www.instagram.com/club.deportivo.magic/,,,-33.3648955,-70.7255244
17,CD quinta normal,Augusto Matte 1645,Quinta normal,,https://www.instagram.com/basketballquintanormal/,,,-33.4252926,-70.6902209
18,REX,Gran avenida 4688,San miguel,,https://www.instagram.com/rex.basket/,,,-33.4967756,-70.6526114
19,El sabueso,Av. Gladys Marín Millie 5783,Pudahuel,,https://www.instagram.com/clubdeportivoelsabueso/,,,,
20,Tejones,Pillancheo 116,Peñaflor,,https://www.instagram.com/tejones.cd/,,,-33.6116012,-70.9021648
21,Estadio espanol,Nevería 4855,Las condes,,https://www.instagram.com/rama_baloncesto_eespanol/,,,-33.4145075,-70.5771714
22,Dragones la reina,Francisco de Villagra 6581,La reina,,,,,-33.4598829,-70.5620834
23,Estadio Israelita,Av. Las Condes 8361,Las condes,,,,,-33.3977036,-70.5483222
24,Estudiantes Santiago,avenida príncipe de gales 6030,La reina,,https://www.instagram.com/c.e.s_stgo/,,,-33.4408636,-70.5394354
25,Huechuraba,,,,,,,,
26,Club Palestino,Av. Pdte. Kennedy 9351,Las condes,,,,,-33.3870187,-70.5383242
27,Santiago Escante,Mauricio Rugendas 5407,Macul,,https://www.instagram.com/santiagoescante/,,,-33.5047113,-70.6104419
28,Union la granja,,,,,,,,
29,Santiago Ballers,Los Profetas 3987,Macul,,,,,-33.490178,-70.5851523
30,Boston College,Av. longitudinal 1081,Maipu,,https://www.instagram.com/cdbostoncollegebasquetbol/,,,-33.4665559,-70.7533535
31,Estadio Mayor,Mariano Sanchez Fontecilla,Peñalolén,,https://www.instagram.com/cdbasketmayor_/,,,-33.5094825,-70.5601032
32,Providencia,Arzobispo Fuenzalida 2615,Providencia,,https://www.instagram.com/providenciabasket/,,,-33.4428363,-70.5987571
33,Ceppi,Paulina 0157,La cisterna,,https://www.instagram.com/clubdeportivosergioceppi/,,,-33.5358098,-70.6672982
34,Luis Mate Larrain,Santo Domingo 165,Puente Alto,,https://www.instagram.com/lml_basquetbol/,,,-33.6106322,-70.5772352
35,Manquehue,Av Vitacura 5841,Las condes,,https://www.instagram.com/manquehuebasket/,,,-33.4112097,-70.6026214
36,Aguilucho,,,,,,,,
37,Brisas,Luciano Ortiz 8450,La cisterna,,,,,-33.5301905,-70.6635543
38,Universidad Catolica,Av. Las Flores 13000,Las condes,,,,,-33.3952587,-70.5079
39,Croata,Av Vitacura 8049,Las condes,,,https://www.lacatolica.cl/secciones/3817,,-33.4112097,-70.6026214
40,CD new leaders,,,,,,,,
41,Stadio Italiano,Av. Apoquindo 6589,Las condes,,https://www.instagram.com/pallacanestro_stadio_italiano/,,,-33.4085871,-70.561228
42,Club basquetbol Colina,Av. Alemania 170,Colina,,https://www.instagram.com/basquet_clubcolina/,,,-33.2591851,-70.6169407
43,Colo Colo,,,,,,,,
44,Mamba club,Ortúzar 1371,Melipilla,,https://www.instagram.com/mamba_club_melipilla/,,,,
